0.49151,0.49918,0.6902,0.74814,0.19442,0.79808,0.91078,1,0.9319,0.73695,0.19468,0.87866,0.39855,0.76399,0.75955,1
0.49547,0.50003,0.54102,0.61936,0.19909,0.79956,0.90911,1,0.70592,0.71963,0.17098,0.81999,0.41329,0.78179,0.75955,1
0.52775,0.4918,0.56625,0.55325,0.23037,0.7849,0.89783,1,0.33261,0.62445,0.20757,0.79935,0.40962,0.77963,0.75955,0
0.5,0.5,0.83776,0.40663,0.20226,0.79922,0.90852,1,0.14848,0.142,0.24057,0.71376,0.4018,0.78657,0.75955,1
0.51663,0.48533,0.4488,0.62696,0.25503,0.77699,0.90521,0,0.27312,0.50346,0.26502,0.71262,0.35608,0.79693,0.75956,1
0.51229,0.49803,0.58221,0.4842,0.20276,0.79908,0.9083,1,0.27877,0.44216,0.19766,0.72023,0.43235,0.75583,0.75955,1
0.48862,0.3412,0.47018,0.7455,0.20071,0.79379,0.90833,1,0.83169,0.81299,0.1637,0.8774,0.4048,0.76465,0.75955,1
0.56967,0.47087,0.65217,0.56414,0.23698,0.7887,0.8989,0,0.23032,0.44277,0.21042,0.72042,0.40679,0.77624,0.75955,1
0.5,0.5,0.60241,0.51425,0.20226,0.79922,0.90852,1,0.26938,0.62286,0.20954,0.67056,0.40962,0.77963,0.75955,1
0.50418,0.49194,0.45245,0.59034,0.20504,0.79502,0.90748,1,0.55542,0.84647,0.17954,0.83338,0.4098,0.77738,0.75955,0
0.50109,0.49655,0.26038,0.72168,0.20226,0.79922,0.90852,1,0.89143,0.64198,0.13365,0.83939,0.40946,0.77932,0.75955,1
0.50558,0.49691,0.54215,0.54436,0.20419,0.79749,0.90675,1,0.23769,0.44646,0.20266,0.73303,0.41199,0.77009,0.75955,1
0.49921,0.47243,0.48728,0.80004,0.20226,0.79922,0.90852,1,0.81785,0.8111,0.16235,0.87381,0.40841,0.77671,0.75955,1
0.51067,0.49927,0.60381,0.63897,0.20836,0.79869,0.90718,1,0.35533,0.45604,0.18479,0.79067,0.41441,0.77911,0.75955,1
0.50319,0.49449,0.47552,0.35127,0.21143,0.771,0.90721,1,0.40652,0.93892,0.1659,0.79589,0.41288,0.76583,0.75955,0
0.5072,0.49842,0.68838,0.58998,0.20778,0.79766,0.9047,1,0.26738,0.40077,0.20038,0.74732,0.40968,0.77962,0.75955,1
0.55958,0.49403,0.6344,0.42729,0.23113,0.78449,0.90077,1,0.37272,0.53979,0.14945,0.74129,0.41803,0.76716,0.75955,1
0.49568,0.45698,0.58168,0.73544,0.19387,0.80361,0.91002,1,0.88182,0.86509,0.1424,0.83042,0.4094,0.77935,0.75955,0
0.49353,0.50117,0.57171,0.74131,0.19859,0.80018,0.90929,0,0.63642,0.73533,0.14896,0.8242,0.40898,0.76632,0.75955,1
0.49682,0.86842,0.53738,0.84642,0.20178,0.79313,0.90816,1,0.57763,0.76572,0.15872,0.80753,0.40468,0.73395,0.75955,1
0.5063,0.5138,0.68613,0.3909,0.20276,0.80153,0.90861,1,0.27207,0.12616,0.20376,0.67552,0.40962,0.77963,0.75955,1
0.48705,0.50032,0.79501,0.45809,0.19726,0.80031,0.91006,0,0.21823,0.55772,0.20102,0.75139,0.41052,0.7782,0.75955,0
0.51653,0.42885,0.35073,0.59476,0.20958,0.76242,0.90866,1,0.52154,0.73711,0.16473,0.80852,0.40923,0.75224,0.75955,1
0.50493,0.29891,0.43412,0.71282,0.20676,0.7691,0.90637,1,0.59597,0.71925,0.16717,0.80544,0.40857,0.75736,0.75955,1
0.45173,0.17153,0.66249,0.77298,0.17869,0.80526,0.90613,0,0.85598,0.77723,0.18527,0.88554,0.40962,0.77963,0.75955,1
0.73494,0.49026,0.8123,0.49058,0.2038,0.79912,0.9055,0,0.15321,0.37249,0.19914,0.75938,0.44628,0.7804,0.75955,0
